booster,colsample_bytree,eta,eval_metric,improve10,improve15,improve5,lamda,learning_rate,max_depth,objective,scale_pos_weight,seed,value-mean10,value-mean15,value-mean5
gbtree,0.7,0.001,auc,0.62470091494,-0.251845040987,-0.491115767991,0.2,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.001,auc,0.62470091494,-0.251845040987,-0.491115767991,0.4,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.001,auc,0.62470091494,-0.251845040987,-0.491115767991,0.6,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.001,auc,0.62470091494,-0.251845040987,-0.491115767991,0.8,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.001,auc,0.62470091494,-0.251845040987,-0.491115767991,1,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.001,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.2,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.001,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.4,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.001,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.6,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.001,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.8,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.001,auc,-2.17917465327,-1.33877774978,-1.88836352959,1,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.01,auc,0.62470091494,-0.251845040987,-0.491115767991,0.2,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.01,auc,0.62470091494,-0.251845040987,-0.491115767991,0.4,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.01,auc,0.62470091494,-0.251845040987,-0.491115767991,0.6,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.01,auc,0.62470091494,-0.251845040987,-0.491115767991,0.8,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.01,auc,0.62470091494,-0.251845040987,-0.491115767991,1,0.05,6,binary:logistic,18.92543859649123,2,8.986,7.91266666667,8.586
gbtree,0.7,0.01,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.2,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
gbtree,0.7,0.01,auc,-2.17917465327,-1.33877774978,-1.88836352959,0.4,0.1,6,binary:logistic,18.92543859649123,2,6.513,7.404,7.644
